;кто;текст;кому;контекст;уровень;post
2460;135267549;[id188690084|Anel], пизди больше;188690084;[id552016958|Something], L E G E N D A Y L O R;2;5071982
2461;560006061;[id135267549|Владислав], позор 2016 за недооцененность Glory;135267549;[id188690084|Anel], пизди больше;2;5071982
2462;30773763;[id135267549|Владислав], 😡;135267549;[id188690084|Anel], пизди больше;2;5071982
2463;135267549;[id30773763|Zhanna], ой😅😅😅;30773763;[id135267549|Владислав], 😡;2;5071982
2464;548060647;[id135267549|Владислав], даже Lover перепродал каждый из этих альбомы (2 месяца) одним днем 😂;135267549;[id188690084|Anel], пизди больше;2;5071982
2465;345716874;[id135267549|Владислав], ты кинул продажи по миру;135267549;[id188690084|Anel], пизди больше;2;5071982
2466;381628553;[id188690084|Anel], L O C A L A Y L O R;188690084;L E G E N D A Y L O R;2;5071982
2467;474955244;[id135267549|Владислав], орууу шизик, ты бы хотя бы читать научился. Продажи в США и по миру это разные вещи во первых. Во вторых, половина того что написанно на этой гагаебской пикче - пиздеж чистой воды, взятый из ниоткуда;135267549;[id188690084|Anel], пизди больше;2;5071982
2468;345716874;[id381628553|Blood], она по миру с учётом США все равно перепродала леди гермафродита;381628553;[id188690084|Anel], L O C A L A Y L O R;2;5071982
2469;597824975;как ни крути Икона;post;post;1;5071808
2470;607799076;[id597824975|Даниэль], Бритни💛;597824975;как ни крути Икона;2;5071808
2471;597824975;[id607799076|Icy], а ну псина уйди с моего уведа;607799076;[id597824975|Даниэль], Бритни💛;2;5071808
2472;607799076;"[id597824975|Даниэль], нет. ...моя собака против...
Куда-то уходить..";597824975;[id607799076|Icy], а ну псина уйди с моего уведа;2;5071808
2473;322706474;[id607799076|Icy], конченая армуха. в очередной раз опозорила свой мерзкий фандом;607799076;"[id597824975|Даниэль], нет. ...моя собака против...
Куда-то уходить..";2;5071808
